Title,Total Price (PLN),Price per SQM (PLN),Rooms,Area (SQM),URL
"Przytulne, słoneczne 2 pokoje na Gocławiu – inwestycja Nordic Living",890000,19690,2,45.2,https://www.otodom.pl/pl/oferta/przytulne-sloneczne-2-pokoje-na-goclawiu-inwestycja-nordic-living-ID4AY2w
Towarowa Square | 2 pokoje | 45.08 m2,2118760,47000,2,45.08,https://www.otodom.pl/pl/oferta/towarowa-square-2-pokoje-45-08-m2-ID4BLTT
2 POKOJE | KAMIENICA | GARDEROBA | KLIMATYZACJA | BIELANY,973000,24949,2,39,https://www.otodom.pl/pl/oferta/2-pokoje-kamienica-garderoba-klimatyzacja-bielany-ID4BLsm
2-pokojowe mieszkanie 38m2 + loggia,859000,22516,2,38.15,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-38m2-loggia-ID4xuNx
✨Na start | Eko osiedle✨| Balkon | Blisko Natury ✨,521000,14372,2,36.25,https://www.otodom.pl/pl/oferta/na-start-eko-osiedle-balkon-blisko-natury-ID4BNyv
"Śródmieście | 37,5 m² | Balkon +widok na PKiN – idealne dla ciebie",699000,18640,2,37.5,https://www.otodom.pl/pl/oferta/srodmiescie-37-5-m-balkon-widok-na-pkin-idealne-dla-ciebie-ID4BNyt
2-pokojowe mieszkanie 42m2 + ogródek Bez Prowizji,770000,18054,2,42.65,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-42m2-ogrodek-bez-prowizji-ID4umfV
2-pokojowe mieszkanie 41m2 + ogródek Bez Prowizji,990000,23844,2,41.52,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-41m2-ogrodek-bez-prowizji-ID4uoeV
"Narożne mieszkanie w nowym, luksusowym budynku - sprzedaż prywatna",919000,21372,2,43,https://www.otodom.pl/pl/oferta/narozne-mieszkanie-w-nowym-luksusowym-budynku-sprzedaz-prywatna-ID4BHtQ
Wyjątkowy apartament | widok na Tor Służewiec,2750000,25000,4,110,https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-widok-na-tor-sluzewiec-ID4BocD
Przestronne | samo centrum | z potencjałem,979999,21778,2,45,https://www.otodom.pl/pl/oferta/przestronne-samo-centrum-z-potencjalem-ID4BNyl
"Taras 12m2 od poludnia, ostatnie piętro 10min do Metra Promocja",567360,14374,2,39.47,https://www.otodom.pl/pl/oferta/taras-12m2-od-poludnia-ostatnie-pietro-10min-do-metra-promocja-ID4BNyk
"Ciche, dwustronne 4 pokoje 120 m2,  2 x garaż",1950000,16250,4,120,https://www.otodom.pl/pl/oferta/ciche-dwustronne-4-pokoje-120-m2-2-x-garaz-ID4B5w2
"3 pokoje przy parku, Sadyba, loggia, ciche, widna kuchnia",799000,16174,3,49.4,https://www.otodom.pl/pl/oferta/3-pokoje-przy-parku-sadyba-loggia-ciche-widna-kuchnia-ID4BmMt
"Powiśle | Nowoczesna kawalerka z balkonem I 35,5 m",745000,20986,1,35.5,https://www.otodom.pl/pl/oferta/powisle-nowoczesna-kawalerka-z-balkonem-i-35-5-m-ID4BNy0
3 pokoje przy Złotych Tarasach,914000,19987,3,45.73,https://www.otodom.pl/pl/oferta/3-pokoje-przy-zlotych-tarasach-ID4BsVn
Bulwary Praskie,N/A,N/A,N/A,N/A,https://www.otodom.pl/pl/oferta/bulwary-praskie-ID4umS4
3-pokojowe mieszkanie 58m2 + loggia Bezpośrednio,1246336,21396,3,58.25,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-58m2-loggia-bezposrednio-ID4umVP
